Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2019-11-08,76.120003,49.150002,222.910004,130.380005
2019-11-11,75.599998,49.090000,219.029999,129.919998
2019-11-12,75.070000,49.009998,220.410004,129.160004
2019-11-13,73.910004,48.389999,219.320007,128.479996
2019-11-14,73.839996,48.610001,219.429993,128.600006
2019-11-15,74.400002,48.990002,220.250000,129.529999
2019-11-18,74.400002,49.029999,219.729996,130.619995
2019-11-19,74.820000,49.330002,220.039993,130.580002
2019-11-20,73.910004,49.099998,217.910004,129.630005
2019-11-21,73.900002,48.840000,218.229996,129.929993
2019-11-22,74.870003,49.250000,220.279999,130.789993
2019-11-25,75.680000,49.959999,222.750000,131.490005
2019-11-26,75.459999,49.410000,222.449997,131.669998
2019-11-27,75.720001,49.779999,222.949997,132.059998
2019-11-29,75.120003,49.480000,221.350006,131.759995
2019-12-02,74.519997,49.080002,217.639999,131.470001
2019-12-03,73.330002,48.110001,212.240005,129.779999
2019-12-04,74.230003,48.840000,215.940002,132.339996
2019-12-05,74.709999,49.070000,217.139999,133.059998
2019-12-06,75.809998,49.799999,224.610001,135.039993
2019-12-09,75.330002,49.599998,221.809998,134.410004
2019-12-10,75.779999,49.669998,221.880005,134.500000
2019-12-11,75.550003,49.450001,221.190002,134.179993
2019-12-12,77.050003,50.689999,226.050003,138.020004
2019-12-13,76.389999,50.240002,225.000000,136.809998
2019-12-16,76.910004,50.720001,228.039993,137.339996
2019-12-17,77.739998,50.900002,231.149994,138.179993
2019-12-18,77.919998,50.660000,230.449997,138.039993
2019-12-19,78.199997,50.860001,229.940002,137.350006
2019-12-20,78.510002,50.689999,228.929993,137.240005
2019-12-23,78.760002,50.720001,229.089996,137.199997
2019-12-24,78.589996,50.689999,229.910004,137.580002
2019-12-26,79.830002,51.110001,231.210007,139.039993
2019-12-27,79.669998,51.090000,230.660004,139.139999
2019-12-30,79.510002,50.959999,229.800003,138.630005
2019-12-31,79.889999,51.119999,229.929993,139.399994
2020-01-02,81.230003,52.040001,234.320007,141.089996
2020-01-03,79.699997,51.200001,231.580002,138.339996
